Run,Temps,A,B,AB,ABA,ABAB 
0,0.36015,4.48,4.76,0.11,0.16,0.21
0,0.365033,4.47,4.76,0.11,0.16,0.21
0,0.372451,4.46,4.76,0.11,0.16,0.21
0,0.37825,4.46,4.75,0.11,0.15,0.22
0,0.383404,4.47,4.75,0.11,0.15,0.22
0,0.384251,4.47,4.75,0.13,0.15,0.21
0,0.386252,4.46,4.75,0.13,0.15,0.21
0,0.395075,4.46,4.74,0.13,0.15,0.21
0,0.395938,4.46,4.73,0.13,0.15,0.21
0,0.398303,4.46,4.72,0.13,0.14,0.22
0,0.398315,4.45,4.72,0.12,0.15,0.22
0,0.419776,4.45,4.73,0.12,0.16,0.21
0,0.42306,4.45,4.72,0.12,0.16,0.21
0,0.443309,4.45,4.71,0.12,0.16,0.21
0,0.444441,4.45,4.7,0.12,0.16,0.21
0,0.454044,4.45,4.69,0.12,0.15,0.22
0,0.455088,4.46,4.69,0.13,0.14,0.22
0,0.469163,4.46,4.68,0.13,0.13,0.23
0,0.469321,4.46,4.67,0.13,0.12,0.24
0,0.472536,4.45,4.67,0.12,0.13,0.24
0,0.4733,4.44,4.67,0.11,0.14,0.24
0,0.474496,4.44,4.68,0.11,0.15,0.23
0,0.477036,4.44,4.67,0.11,0.14,0.24
0,0.482027,4.44,4.68,0.11,0.15,0.23
0,0.494402,4.44,4.69,0.11,0.16,0.22
0,0.500639,4.44,4.69,0.13,0.16,0.21
0,0.507678,4.43,4.69,0.12,0.17,0.21
0,0.513365,4.43,4.68,0.12,0.16,0.22
0,0.518013,4.42,4.68,0.11,0.17,0.22
0,0.522161,4.42,4.67,0.11,0.16,0.23
0,0.523037,4.42,4.66,0.11,0.15,0.24
0,0.526214,4.41,4.66,0.1,0.16,0.24
0,0.533253,4.4,4.66,0.1,0.16,0.24
0,0.534267,4.41,4.66,0.11,0.15,0.24
0,0.540989,4.4,4.66,0.1,0.16,0.24
0,0.544471,4.41,4.66,0.11,0.15,0.24
0,0.544489,4.41,4.65,0.11,0.14,0.25
0,0.547683,4.41,4.66,0.11,0.15,0.24
0,0.548756,4.41,4.65,0.11,0.14,0.25
0,0.549296,4.4,4.65,0.11,0.14,0.25
0,0.552178,4.4,4.66,0.11,0.15,0.24
0,0.557717,4.4,4.67,0.11,0.16,0.23
0,0.559482,4.41,4.67,0.12,0.15,0.23
0,0.56681,4.41,4.66,0.12,0.15,0.23
0,0.573075,4.4,4.66,0.11,0.16,0.23
0,0.576328,4.4,4.65,0.11,0.15,0.24
0,0.576343,4.4,4.66,0.11,0.16,0.23
0,0.581099,4.4,4.65,0.11,0.15,0.24
0,0.586461,4.4,4.66,0.11,0.16,0.23
0,0.591591,4.4,4.65,0.11,0.15,0.24
0,0.59481,4.4,4.66,0.11,0.16,0.23
0,0.595348,4.4,4.65,0.11,0.15,0.24
0,0.602161,4.39,4.65,0.11,0.15,0.24
0,0.604493,4.38,4.65,0.1,0.16,0.24
0,0.612234,4.38,4.65,0.12,0.16,0.23
0,0.612875,4.38,4.64,0.12,0.16,0.23
0,0.61825,4.38,4.63,0.12,0.15,0.24
0,0.618345,4.37,4.63,0.11,0.16,0.24
0,0.622041,4.37,4.62,0.11,0.16,0.24
0,0.623938,4.37,4.63,0.11,0.17,0.23
0,0.624313,4.37,4.64,0.11,0.17,0.23
0,0.628231,4.36,4.64,0.1,0.18,0.23
0,0.634368,4.36,4.63,0.1,0.18,0.23
0,0.641234,4.36,4.64,0.1,0.19,0.22
0,0.642279,4.37,4.64,0.11,0.18,0.22
0,0.647589,4.36,4.64,0.1,0.19,0.22
0,0.647892,4.36,4.63,0.1,0.19,0.22
0,0.649545,4.36,4.62,0.1,0.18,0.23
0,0.652306,4.37,4.62,0.11,0.17,0.23
0,0.655212,4.36,4.62,0.1,0.18,0.23
0,0.679916,4.35,4.62,0.09,0.19,0.23
0,0.68032,4.35,4.61,0.09,0.19,0.23
0,0.681156,4.35,4.6,0.09,0.18,0.24
0,0.681394,4.35,4.59,0.09,0.18,0.24
0,0.682034,4.35,4.58,0.09,0.18,0.24
0,0.683486,4.35,4.57,0.09,0.17,0.25
0,0.696569,4.35,4.56,0.09,0.17,0.25
0,0.696707,4.35,4.55,0.09,0.16,0.26
0,0.711181,4.35,4.55,0.11,0.16,0.25
0,0.711182,4.34,4.55,0.1,0.17,0.25
0,0.712023,4.33,4.55,0.09,0.18,0.25
0,0.715806,4.33,4.54,0.09,0.18,0.25
0,0.717844,4.33,4.54,0.11,0.18,0.24
0,0.720293,4.33,4.53,0.11,0.18,0.24
0,0.721303,4.32,4.53,0.1,0.19,0.24
0,0.723374,4.32,4.52,0.1,0.18,0.25
0,0.724836,4.32,4.51,0.1,0.18,0.25
0,0.728129,4.32,4.52,0.1,0.19,0.24
0,0.731857,4.32,4.53,0.1,0.2,0.23
0,0.73287,4.31,4.53,0.09,0.21,0.23
0,0.733017,4.31,4.52,0.09,0.21,0.23
0,0.737709,4.31,4.51,0.09,0.2,0.24
0,0.737942,4.31,4.52,0.09,0.21,0.23
0,0.738065,4.31,4.51,0.09,0.21,0.23
0,0.742399,4.31,4.51,0.09,0.21,0.22
0,0.747193,4.3,4.51,0.09,0.21,0.22
0,0.748131,4.3,4.5,0.09,0.2,0.23
0,0.749855,4.29,4.5,0.09,0.2,0.23
0,0.753774,4.29,4.51,0.09,0.21,0.22
0,0.754168,4.28,4.51,0.09,0.21,0.22
0,0.754509,4.27,4.51,0.09,0.21,0.22
0,0.755646,4.27,4.51,0.11,0.21,0.21
0,0.761536,4.26,4.51,0.11,0.21,0.21
0,0.761836,4.25,4.51,0.11,0.21,0.21
0,0.762481,4.25,4.5,0.11,0.21,0.21
0,0.765032,4.25,4.49,0.11,0.2,0.22
