Temps,A,B,AB,ABA,ABAB
108.8,0.494472,0.495565,0.00290141,0.00109336,0.000267043
108.9,0.494493,0.495582,0.00289002,0.00108909,0.000265992
109,0.494514,0.495599,0.00287867,0.00108483,0.000264944
109.1,0.494535,0.495616,0.00286737,0.00108059,0.000263901
109.2,0.494556,0.495632,0.00285611,0.00107637,0.000262862
109.3,0.494577,0.495649,0.0028449,0.00107217,0.000261827
109.4,0.494597,0.495665,0.00283373,0.00106798,0.000260797
109.5,0.494618,0.495682,0.00282262,0.00106381,0.000259771
109.6,0.494639,0.495698,0.00281154,0.00105966,0.000258749
109.7,0.494659,0.495715,0.00280051,0.00105552,0.000257731
109.8,0.494679,0.495731,0.00278953,0.0010514,0.000256718
109.9,0.4947,0.495747,0.00277859,0.0010473,0.000255709
110,0.49472,0.495763,0.0027677,0.00104321,0.000254704
110.1,0.49474,0.495779,0.00275685,0.00103914,0.000253703
110.2,0.49476,0.495795,0.00274605,0.00103509,0.000252706
110.3,0.49478,0.495811,0.00273529,0.00103105,0.000251713
110.4,0.4948,0.495827,0.00272457,0.00102703,0.000250724
110.5,0.49482,0.495843,0.0027139,0.00102303,0.00024974
110.6,0.49484,0.495859,0.00270327,0.00101904,0.000248759
110.7,0.494859,0.495875,0.00269269,0.00101507,0.000247782
110.8,0.494879,0.49589,0.00268214,0.00101111,0.00024681
110.9,0.494899,0.495906,0.00267164,0.00100717,0.000245841
111,0.494918,0.495921,0.00266119,0.00100325,0.000244877
111.1,0.494938,0.495937,0.00265077,0.000999341,0.000243916
111.2,0.494957,0.495952,0.0026404,0.000995449,0.000242959
111.3,0.494976,0.495968,0.00263007,0.000991572,0.000242006
111.4,0.494995,0.495983,0.00261979,0.000987711,0.000241057
111.5,0.495014,0.495998,0.00260954,0.000983866,0.000240112
111.6,0.495033,0.496013,0.00259934,0.000980036,0.000239171
111.7,0.495052,0.496029,0.00258918,0.000976222,0.000238234
111.8,0.495071,0.496044,0.00257906,0.000972423,0.000237301
111.9,0.49509,0.496059,0.00256898,0.000968639,0.000236371
112,0.495109,0.496074,0.00255894,0.000964871,0.000235445
112.1,0.495127,0.496089,0.00254894,0.000961118,0.000234523
112.2,0.495146,0.496103,0.00253898,0.00095738,0.000233605
112.3,0.495165,0.496118,0.00252907,0.000953657,0.00023269
112.4,0.495183,0.496133,0.00251919,0.000949949,0.000231779
112.5,0.495201,0.496148,0.00250935,0.000946256,0.000230872
112.6,0.49522,0.496162,0.00249956,0.000942577,0.000229969
112.7,0.495238,0.496177,0.0024898,0.000938914,0.000229069
112.8,0.495256,0.496191,0.00248008,0.000935265,0.000228173
112.9,0.495274,0.496206,0.0024704,0.000931631,0.000227281
113,0.495292,0.49622,0.00246077,0.000928012,0.000226392
113.1,0.49531,0.496235,0.00245117,0.000924407,0.000225507
113.2,0.495328,0.496249,0.00244161,0.000920817,0.000224625
113.3,0.495346,0.496263,0.00243208,0.000917241,0.000223747
113.4,0.495364,0.496277,0.0024226,0.000913679,0.000222873
113.5,0.495381,0.496292,0.00241316,0.000910132,0.000222002
113.6,0.495399,0.496306,0.00240375,0.000906599,0.000221135
113.7,0.495417,0.49632,0.00239438,0.00090308,0.000220271
113.8,0.495434,0.496334,0.00238505,0.000899575,0.000219411
113.9,0.495452,0.496348,0.00237576,0.000896085,0.000218554
114,0.495469,0.496361,0.0023665,0.000892608,0.000217701
114.1,0.495486,0.496375,0.00235728,0.000889145,0.000216851
114.2,0.495503,0.496389,0.0023481,0.000885697,0.000216005
114.3,0.495521,0.496403,0.00233896,0.000882261,0.000215162
114.4,0.495538,0.496416,0.00232985,0.00087884,0.000214322
114.5,0.495555,0.49643,0.00232078,0.000875433,0.000213486
114.6,0.495572,0.496444,0.00231175,0.000872039,0.000212654
114.7,0.495588,0.496457,0.00230275,0.000868658,0.000211824
114.8,0.495605,0.496471,0.00229379,0.000865292,0.000210998
114.9,0.495622,0.496484,0.00228486,0.000861938,0.000210176
