Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
68.3,0.731812,0.355883,0.691173,0.261792,0.191951,0.0685096,0.169907,0.0608743,0.23431,0.160682,0.0560073
68.4,0.731826,0.35584,0.691021,0.261743,0.191915,0.0684856,0.169938,0.060874,0.234334,0.160675,0.0560087
68.5,0.731839,0.355798,0.69087,0.261695,0.191879,0.0684618,0.169969,0.0608737,0.234358,0.160668,0.05601
68.6,0.731851,0.355756,0.690719,0.261648,0.191843,0.0684381,0.169999,0.0608734,0.234382,0.16066,0.0560113
68.7,0.731863,0.355715,0.690571,0.261601,0.191807,0.0684146,0.170028,0.0608729,0.234405,0.160653,0.0560125
68.8,0.731875,0.355674,0.690423,0.261554,0.191772,0.0683913,0.170057,0.0608724,0.234428,0.160646,0.0560136
68.9,0.731886,0.355633,0.690277,0.261507,0.191736,0.0683681,0.170086,0.0608719,0.234451,0.160638,0.0560146
69,0.731897,0.355593,0.690131,0.261461,0.191701,0.0683451,0.170114,0.0608713,0.234473,0.16063,0.0560156
69.1,0.731908,0.355553,0.689987,0.261415,0.191666,0.0683223,0.170142,0.0608706,0.234495,0.160622,0.0560165
69.2,0.731918,0.355513,0.689844,0.26137,0.191631,0.0682996,0.170169,0.0608698,0.234516,0.160615,0.0560173
69.3,0.731927,0.355474,0.689703,0.261324,0.191596,0.068277,0.170196,0.060869,0.234537,0.160607,0.056018
69.4,0.731936,0.355435,0.689562,0.261279,0.191561,0.0682546,0.170222,0.0608682,0.234558,0.160599,0.0560187
69.5,0.731945,0.355396,0.689423,0.261235,0.191527,0.0682324,0.170248,0.0608672,0.234579,0.160591,0.0560193
69.6,0.731953,0.355358,0.689284,0.26119,0.191492,0.0682103,0.170274,0.0608662,0.234599,0.160582,0.0560199
69.7,0.731961,0.355321,0.689147,0.261146,0.191458,0.0681884,0.170299,0.0608652,0.234619,0.160574,0.0560204
69.8,0.731969,0.355283,0.689011,0.261102,0.191424,0.0681666,0.170324,0.0608641,0.234638,0.160566,0.0560208
69.9,0.731976,0.355246,0.688876,0.261059,0.19139,0.0681449,0.170348,0.0608629,0.234658,0.160557,0.0560211
70,0.731983,0.355209,0.688742,0.261016,0.191356,0.0681234,0.170372,0.0608617,0.234676,0.160549,0.0560214
70.1,0.731989,0.355173,0.688609,0.260973,0.191323,0.0681021,0.170396,0.0608605,0.234695,0.16054,0.0560217
70.2,0.731995,0.355137,0.688477,0.26093,0.191289,0.0680809,0.170419,0.0608591,0.234713,0.160532,0.0560218
70.3,0.732001,0.355101,0.688346,0.260888,0.191256,0.0680598,0.170441,0.0608578,0.234731,0.160523,0.0560219
70.4,0.732006,0.355065,0.688216,0.260846,0.191223,0.0680388,0.170464,0.0608563,0.234749,0.160514,0.056022
70.5,0.732011,0.35503,0.688088,0.260804,0.19119,0.068018,0.170486,0.0608548,0.234766,0.160506,0.056022
70.6,0.732015,0.354995,0.68796,0.260762,0.191157,0.0679974,0.170507,0.0608533,0.234783,0.160497,0.0560219
70.7,0.732019,0.354961,0.687833,0.260721,0.191124,0.0679768,0.170528,0.0608517,0.2348,0.160488,0.0560217
70.8,0.732023,0.354926,0.687707,0.26068,0.191091,0.0679564,0.170549,0.0608501,0.234816,0.160479,0.0560215
70.9,0.732026,0.354892,0.687582,0.260639,0.191059,0.0679361,0.170569,0.0608484,0.234832,0.160469,0.0560213
71,0.732029,0.354859,0.687459,0.260599,0.191026,0.067916,0.170589,0.0608466,0.234848,0.16046,0.056021
71.1,0.732032,0.354826,0.687336,0.260558,0.190994,0.067896,0.170609,0.0608448,0.234864,0.160451,0.0560206
71.2,0.732034,0.354793,0.687214,0.260518,0.190962,0.0678761,0.170628,0.060843,0.234879,0.160442,0.0560201
71.3,0.732036,0.35476,0.687093,0.260479,0.19093,0.0678563,0.170647,0.0608411,0.234894,0.160432,0.0560197
71.4,0.732038,0.354727,0.686973,0.260439,0.190898,0.0678367,0.170666,0.0608391,0.234909,0.160423,0.0560191
71.5,0.732039,0.354695,0.686854,0.2604,0.190867,0.0678172,0.170684,0.0608371,0.234923,0.160413,0.0560185
71.6,0.73204,0.354663,0.686736,0.260361,0.190835,0.0677978,0.170702,0.0608351,0.234937,0.160404,0.0560179
71.7,0.732041,0.354632,0.686618,0.260322,0.190804,0.0677785,0.17072,0.060833,0.234951,0.160394,0.0560172
71.8,0.732041,0.3546,0.686502,0.260284,0.190772,0.0677594,0.170737,0.0608309,0.234965,0.160385,0.0560164
71.9,0.732041,0.354569,0.686387,0.260246,0.190741,0.0677403,0.170754,0.0608287,0.234978,0.160375,0.0560156
72,0.732041,0.354539,0.686272,0.260208,0.19071,0.0677214,0.17077,0.0608264,0.234991,0.160365,0.0560147
72.1,0.73204,0.354508,0.686158,0.26017,0.190679,0.0677026,0.170786,0.0608242,0.235004,0.160355,0.0560138
72.2,0.732039,0.354478,0.686045,0.260132,0.190648,0.0676839,0.170802,0.0608218,0.235017,0.160345,0.0560128
72.3,0.732038,0.354448,0.685933,0.260095,0.190617,0.0676654,0.170818,0.0608195,0.235029,0.160335,0.0560118
72.4,0.732037,0.354418,0.685822,0.260058,0.190587,0.0676469,0.170833,0.0608171,0.235041,0.160325,0.0560107
72.5,0.732035,0.354389,0.685712,0.260021,0.190556,0.0676286,0.170848,0.0608146,0.235053,0.160315,0.0560096
72.6,0.732032,0.35436,0.685602,0.259984,0.190526,0.0676103,0.170863,0.0608121,0.235064,0.160305,0.0560084
72.7,0.73203,0.354331,0.685494,0.259948,0.190495,0.0675922,0.170877,0.0608096,0.235076,0.160295,0.0560072
72.8,0.732027,0.354302,0.685386,0.259912,0.190465,0.0675742,0.170891,0.060807,0.235087,0.160285,0.056006
72.9,0.732024,0.354274,0.685279,0.259876,0.190435,0.0675563,0.170904,0.0608044,0.235098,0.160274,0.0560046
73,0.732021,0.354246,0.685172,0.25984,0.190405,0.0675385,0.170918,0.0608017,0.235108,0.160264,0.0560033
73.1,0.732017,0.354218,0.685067,0.259805,0.190375,0.0675208,0.170931,0.060799,0.235119,0.160253,0.0560019
73.2,0.732013,0.35419,0.684962,0.259769,0.190346,0.0675032,0.170944,0.0607963,0.235129,0.160243,0.0560004
73.3,0.732009,0.354162,0.684858,0.259734,0.190316,0.0674857,0.170956,0.0607935,0.235139,0.160232,0.0559989
73.4,0.732004,0.354135,0.684755,0.259699,0.190286,0.0674683,0.170968,0.0607907,0.235148,0.160222,0.0559974
73.5,0.732,0.354108,0.684652,0.259664,0.190257,0.0674511,0.17098,0.0607878,0.235158,0.160211,0.0559958
73.6,0.731995,0.354081,0.684551,0.25963,0.190228,0.0674339,0.170992,0.0607849,0.235167,0.160201,0.0559941
73.7,0.731989,0.354055,0.68445,0.259596,0.190199,0.0674168,0.171003,0.060782,0.235176,0.16019,0.0559924
73.8,0.731984,0.354029,0.68435,0.259562,0.190169,0.0673998,0.171014,0.060779,0.235185,0.160179,0.0559907
73.9,0.731978,0.354003,0.68425,0.259528,0.19014,0.0673829,0.171025,0.060776,0.235193,0.160168,0.0559889
74,0.731972,0.353977,0.684151,0.259494,0.190112,0.0673661,0.171035,0.0607729,0.235202,0.160157,0.0559871
74.1,0.731965,0.353951,0.684053,0.25946,0.190083,0.0673494,0.171045,0.0607698,0.23521,0.160147,0.0559853
74.2,0.731959,0.353926,0.683956,0.259427,0.190054,0.0673328,0.171055,0.0607667,0.235218,0.160136,0.0559834
74.3,0.731952,0.353901,0.683859,0.259394,0.190025,0.0673163,0.171065,0.0607635,0.235226,0.160125,0.0559814
74.4,0.731945,0.353876,0.683763,0.259361,0.189997,0.0672999,0.171074,0.0607603,0.235233,0.160114,0.0559795
74.5,0.731937,0.353851,0.683668,0.259328,0.189969,0.0672836,0.171083,0.0607571,0.23524,0.160102,0.0559774
74.6,0.73193,0.353826,0.683573,0.259296,0.18994,0.0672673,0.171092,0.0607538,0.235248,0.160091,0.0559754
74.7,0.731922,0.353802,0.683479,0.259263,0.189912,0.0672512,0.171101,0.0607505,0.235255,0.16008,0.0559733
74.8,0.731914,0.353778,0.683386,0.259231,0.189884,0.0672351,0.171109,0.0607472,0.235261,0.160069,0.0559711
74.9,0.731905,0.353754,0.683294,0.259199,0.189856,0.0672191,0.171117,0.0607438,0.235268,0.160058,0.055969
75,0.731897,0.35373,0.683202,0.259167,0.189828,0.0672033,0.171125,0.0607404,0.235274,0.160046,0.0559668
75.1,0.731888,0.353707,0.68311,0.259135,0.1898,0.0671875,0.171133,0.060737,0.23528,0.160035,0.0559645
75.2,0.731879,0.353683,0.68302,0.259104,0.189772,0.0671718,0.17114,0.0607335,0.235286,0.160024,0.0559622
75.3,0.731869,0.35366,0.682929,0.259072,0.189745,0.0671561,0.171147,0.06073,0.235292,0.160012,0.0559599
75.4,0.73186,0.353637,0.68284,0.259041,0.189717,0.0671406,0.171154,0.0607265,0.235298,0.160001,0.0559575
75.5,0.73185,0.353614,0.682751,0.25901,0.18969,0.0671251,0.171161,0.0607229,0.235303,0.159989,0.0559551
75.6,0.73184,0.353592,0.682663,0.258979,0.189662,0.0671097,0.171167,0.0607193,0.235308,0.159978,0.0559527
75.7,0.73183,0.353569,0.682575,0.258949,0.189635,0.0670944,0.171173,0.0607157,0.235313,0.159966,0.0559502
75.8,0.731819,0.353547,0.682488,0.258918,0.189608,0.0670792,0.171179,0.060712,0.235318,0.159954,0.0559477
75.9,0.731809,0.353525,0.682402,0.258888,0.18958,0.0670641,0.171185,0.0607083,0.235323,0.159943,0.0559451
76,0.731798,0.353503,0.682316,0.258857,0.189553,0.067049,0.17119,0.0607046,0.235327,0.159931,0.0559425
76.1,0.731787,0.353482,0.682231,0.258827,0.189526,0.067034,0.171196,0.0607008,0.235331,0.159919,0.0559399
76.2,0.731775,0.35346,0.682146,0.258798,0.189499,0.0670191,0.171201,0.0606971,0.235336,0.159908,0.0559373
76.3,0.731764,0.353439,0.682062,0.258768,0.189473,0.0670043,0.171205,0.0606932,0.23534,0.159896,0.0559346
76.4,0.731752,0.353418,0.681979,0.258738,0.189446,0.0669896,0.17121,0.0606894,0.235343,0.159884,0.0559319
76.5,0.73174,0.353397,0.681896,0.258709,0.189419,0.0669749,0.171214,0.0606855,0.235347,0.159872,0.0559291
76.6,0.731728,0.353376,0.681813,0.258679,0.189393,0.0669603,0.171219,0.0606816,0.235351,0.15986,0.0559263
76.7,0.731716,0.353355,0.681731,0.25865,0.189366,0.0669457,0.171223,0.0606777,0.235354,0.159848,0.0559235
76.8,0.731703,0.353335,0.68165,0.258621,0.18934,0.0669313,0.171226,0.0606738,0.235357,0.159836,0.0559207
76.9,0.731691,0.353314,0.681569,0.258593,0.189313,0.0669169,0.17123,0.0606698,0.23536,0.159824,0.0559178
77,0.731678,0.353294,0.681489,0.258564,0.189287,0.0669026,0.171233,0.0606658,0.235363,0.159812,0.0559149
77.1,0.731665,0.353274,0.681409,0.258535,0.189261,0.0668883,0.171236,0.0606617,0.235365,0.1598,0.0559119
77.2,0.731651,0.353255,0.68133,0.258507,0.189235,0.0668742,0.171239,0.0606577,0.235368,0.159788,0.055909
77.3,0.731638,0.353235,0.681251,0.258479,0.189209,0.0668601,0.171242,0.0606536,0.23537,0.159776,0.055906
77.4,0.731624,0.353215,0.681173,0.25845,0.189183,0.066846,0.171245,0.0606495,0.235373,0.159764,0.0559029
77.5,0.73161,0.353196,0.681095,0.258422,0.189157,0.0668321,0.171247,0.0606453,0.235375,0.159751,0.0558999
77.6,0.731596,0.353177,0.681018,0.258395,0.189131,0.0668182,0.171249,0.0606412,0.235377,0.159739,0.0558968
77.7,0.731582,0.353158,0.680942,0.258367,0.189105,0.0668043,0.171251,0.060637,0.235378,0.159727,0.0558936
77.8,0.731568,0.353139,0.680865,0.258339,0.189079,0.0667905,0.171253,0.0606328,0.23538,0.159715,0.0558905
77.9,0.731553,0.35312,0.68079,0.258312,0.189054,0.0667768,0.171254,0.0606285,0.235381,0.159702,0.0558873
78,0.731538,0.353102,0.680714,0.258284,0.189028,0.0667632,0.171256,0.0606243,0.235383,0.15969,0.0558841
78.1,0.731524,0.353083,0.68064,0.258257,0.189003,0.0667496,0.171257,0.06062,0.235384,0.159678,0.0558808
78.2,0.731508,0.353065,0.680565,0.25823,0.188977,0.0667361,0.171258,0.0606157,0.235385,0.159665,0.0558776
78.3,0.731493,0.353047,0.680492,0.258203,0.188952,0.0667227,0.171259,0.0606113,0.235386,0.159653,0.0558743
78.4,0.731478,0.353029,0.680418,0.258176,0.188927,0.0667093,0.17126,0.060607,0.235387,0.15964,0.055871
78.5,0.731462,0.353011,0.680345,0.25815,0.188901,0.0666959,0.17126,0.0606026,0.235387,0.159628,0.0558676
78.6,0.731446,0.352993,0.680273,0.258123,0.188876,0.0666827,0.17126,0.0605982,0.235388,0.159615,0.0558642
78.7,0.73143,0.352975,0.680201,0.258097,0.188851,0.0666695,0.17126,0.0605938,0.235388,0.159603,0.0558608
78.8,0.731414,0.352958,0.680129,0.25807,0.188826,0.0666563,0.17126,0.0605893,0.235389,0.15959,0.0558574
78.9,0.731398,0.352941,0.680058,0.258044,0.188801,0.0666432,0.17126,0.0605848,0.235389,0.159577,0.055854
79,0.731382,0.352923,0.679987,0.258018,0.188776,0.0666302,0.17126,0.0605803,0.235389,0.159565,0.0558505
79.1,0.731365,0.352906,0.679917,0.257992,0.188751,0.0666172,0.171259,0.0605758,0.235388,0.159552,0.055847
79.2,0.731348,0.352889,0.679847,0.257966,0.188727,0.0666043,0.171259,0.0605713,0.235388,0.159539,0.0558435
79.3,0.731332,0.352873,0.679778,0.257941,0.188702,0.0665914,0.171258,0.0605667,0.235388,0.159527,0.0558399
79.4,0.731315,0.352856,0.679709,0.257915,0.188677,0.0665786,0.171257,0.0605621,0.235387,0.159514,0.0558363
79.5,0.731297,0.352839,0.67964,0.257889,0.188653,0.0665659,0.171256,0.0605575,0.235387,0.159501,0.0558327
79.6,0.73128,0.352823,0.679572,0.257864,0.188628,0.0665532,0.171254,0.0605529,0.235386,0.159488,0.0558291
79.7,0.731263,0.352807,0.679504,0.257839,0.188604,0.0665405,0.171253,0.0605483,0.235385,0.159475,0.0558254
79.8,0.731245,0.352791,0.679437,0.257814,0.188579,0.066528,0.171251,0.0605436,0.235384,0.159463,0.0558218
79.9,0.731227,0.352775,0.67937,0.257789,0.188555,0.0665154,0.17125,0.0605389,0.235383,0.15945,0.0558181
80,0.731209,0.352759,0.679303,0.257764,0.188531,0.0665029,0.171248,0.0605342,0.235382,0.159437,0.0558144
80.1,0.731191,0.352743,0.679237,0.257739,0.188506,0.0664905,0.171245,0.0605295,0.23538,0.159424,0.0558106
80.2,0.731173,0.352727,0.679171,0.257714,0.188482,0.0664781,0.171243,0.0605248,0.235379,0.159411,0.0558068
80.3,0.731155,0.352711,0.679106,0.257689,0.188458,0.0664658,0.171241,0.06052,0.235377,0.159398,0.0558031
80.4,0.731136,0.352696,0.679041,0.257665,0.188434,0.0664535,0.171238,0.0605152,0.235376,0.159385,0.0557992
80.5,0.731118,0.352681,0.678976,0.25764,0.18841,0.0664413,0.171236,0.0605104,0.235374,0.159372,0.0557954
80.6,0.731099,0.352665,0.678912,0.257616,0.188386,0.0664291,0.171233,0.0605056,0.235372,0.159359,0.0557916
80.7,0.73108,0.35265,0.678848,0.257592,0.188362,0.066417,0.17123,0.0605008,0.23537,0.159346,0.0557877
80.8,0.731061,0.352635,0.678784,0.257568,0.188338,0.0664049,0.171227,0.0604959,0.235368,0.159333,0.0557838
80.9,0.731042,0.35262,0.678721,0.257544,0.188314,0.0663929,0.171224,0.060491,0.235365,0.15932,0.0557799
81,0.731023,0.352606,0.678658,0.25752,0.188291,0.0663809,0.17122,0.0604862,0.235363,0.159307,0.0557759
81.1,0.731003,0.352591,0.678596,0.257496,0.188267,0.066369,0.171217,0.0604812,0.235361,0.159293,0.055772
81.2,0.730984,0.352576,0.678533,0.257472,0.188243,0.0663571,0.171213,0.0604763,0.235358,0.15928,0.055768
81.3,0.730964,0.352562,0.678472,0.257448,0.18822,0.0663453,0.171209,0.0604714,0.235355,0.159267,0.055764
81.4,0.730944,0.352547,0.67841,0.257425,0.188196,0.0663335,0.171205,0.0604664,0.235353,0.159254,0.05576
81.5,0.730925,0.352533,0.678349,0.257401,0.188172,0.0663217,0.171201,0.0604614,0.23535,0.159241,0.0557559
81.6,0.730905,0.352519,0.678288,0.257378,0.188149,0.06631,0.171197,0.0604565,0.235347,0.159227,0.0557519
81.7,0.730884,0.352505,0.678228,0.257355,0.188126,0.0662983,0.171193,0.0604514,0.235344,0.159214,0.0557478
81.8,0.730864,0.352491,0.678167,0.257331,0.188102,0.0662867,0.171189,0.0604464,0.235341,0.159201,0.0557437
81.9,0.730844,0.352477,0.678108,0.257308,0.188079,0.0662752,0.171184,0.0604414,0.235337,0.159188,0.0557396
82,0.730823,0.352463,0.678048,0.257285,0.188056,0.0662636,0.171179,0.0604363,0.235334,0.159174,0.0557355
82.1,0.730803,0.35245,0.677989,0.257262,0.188032,0.0662521,0.171175,0.0604312,0.235331,0.159161,0.0557313
82.2,0.730782,0.352436,0.67793,0.25724,0.188009,0.0662407,0.17117,0.0604262,0.235327,0.159148,0.0557271
82.3,0.730761,0.352423,0.677871,0.257217,0.187986,0.0662293,0.171165,0.0604211,0.235323,0.159134,0.0557229
82.4,0.73074,0.352409,0.677813,0.257194,0.187963,0.0662179,0.171159,0.0604159,0.23532,0.159121,0.0557187
82.5,0.730719,0.352396,0.677755,0.257171,0.18794,0.0662066,0.171154,0.0604108,0.235316,0.159107,0.0557145
82.6,0.730698,0.352383,0.677698,0.257149,0.187917,0.0661953,0.171149,0.0604056,0.235312,0.159094,0.0557103
82.7,0.730677,0.35237,0.67764,0.257127,0.187894,0.0661841,0.171143,0.0604005,0.235308,0.159081,0.055706
82.8,0.730655,0.352356,0.677583,0.257104,0.187871,0.0661729,0.171138,0.0603953,0.235304,0.159067,0.0557017
82.9,0.730634,0.352344,0.677526,0.257082,0.187848,0.0661617,0.171132,0.0603901,0.2353,0.159054,0.0556974
83,0.730612,0.352331,0.67747,0.25706,0.187825,0.0661506,0.171126,0.0603849,0.235296,0.15904,0.0556931
83.1,0.730591,0.352318,0.677414,0.257038,0.187802,0.0661395,0.17112,0.0603797,0.235291,0.159027,0.0556888
83.2,0.730569,0.352305,0.677358,0.257016,0.18778,0.0661285,0.171114,0.0603744,0.235287,0.159013,0.0556845
83.3,0.730547,0.352293,0.677302,0.256994,0.187757,0.0661175,0.171108,0.0603692,0.235282,0.159,0.0556801
83.4,0.730525,0.35228,0.677247,0.256972,0.187734,0.0661065,0.171102,0.0603639,0.235278,0.158986,0.0556757
83.5,0.730503,0.352268,0.677192,0.25695,0.187712,0.0660956,0.171095,0.0603587,0.235273,0.158972,0.0556713
83.6,0.730481,0.352255,0.677137,0.256928,0.187689,0.0660847,0.171089,0.0603534,0.235268,0.158959,0.0556669
83.7,0.730458,0.352243,0.677082,0.256907,0.187667,0.0660738,0.171082,0.0603481,0.235264,0.158945,0.0556625
83.8,0.730436,0.352231,0.677028,0.256885,0.187644,0.066063,0.171076,0.0603427,0.235259,0.158932,0.0556581
83.9,0.730414,0.352219,0.676974,0.256863,0.187622,0.0660522,0.171069,0.0603374,0.235254,0.158918,0.0556536
84,0.730391,0.352207,0.67692,0.256842,0.187599,0.0660414,0.171062,0.0603321,0.235249,0.158904,0.0556491
84.1,0.730368,0.352195,0.676867,0.256821,0.187577,0.0660307,0.171055,0.0603267,0.235244,0.158891,0.0556446
84.2,0.730346,0.352183,0.676814,0.256799,0.187554,0.06602,0.171048,0.0603213,0.235238,0.158877,0.0556401
84.3,0.730323,0.352171,0.676761,0.256778,0.187532,0.0660094,0.171041,0.060316,0.235233,0.158863,0.0556356
84.4,0.7303,0.35216,0.676708,0.256757,0.18751,0.0659988,0.171033,0.0603106,0.235228,0.15885,0.0556311
84.5,0.730277,0.352148,0.676655,0.256736,0.187488,0.0659882,0.171026,0.0603052,0.235222,0.158836,0.0556266
84.6,0.730254,0.352136,0.676603,0.256715,0.187465,0.0659776,0.171019,0.0602997,0.235217,0.158822,0.055622
84.7,0.73023,0.352125,0.676551,0.256694,0.187443,0.0659671,0.171011,0.0602943,0.235211,0.158808,0.0556174
84.8,0.730207,0.352114,0.676499,0.256673,0.187421,0.0659566,0.171003,0.0602889,0.235206,0.158795,0.0556128
84.9,0.730184,0.352102,0.676448,0.256652,0.187399,0.0659462,0.170996,0.0602834,0.2352,0.158781,0.0556082
85,0.73016,0.352091,0.676397,0.256631,0.187377,0.0659358,0.170988,0.0602779,0.235194,0.158767,0.0556036
85.1,0.730137,0.35208,0.676346,0.256611,0.187355,0.0659254,0.17098,0.0602725,0.235188,0.158753,0.055599
85.2,0.730113,0.352069,0.676295,0.25659,0.187333,0.065915,0.170972,0.060267,0.235182,0.158739,0.0555944
85.3,0.730089,0.352058,0.676244,0.25657,0.187311,0.0659047,0.170964,0.0602615,0.235176,0.158725,0.0555897
85.4,0.730065,0.352047,0.676194,0.256549,0.187289,0.0658944,0.170956,0.060256,0.23517,0.158712,0.055585
85.5,0.730042,0.352036,0.676144,0.256529,0.187267,0.0658842,0.170947,0.0602505,0.235164,0.158698,0.0555804
85.6,0.730018,0.352025,0.676094,0.256508,0.187245,0.0658739,0.170939,0.0602449,0.235158,0.158684,0.0555757
85.7,0.729994,0.352014,0.676044,0.256488,0.187224,0.0658637,0.17093,0.0602394,0.235152,0.15867,0.055571
85.8,0.729969,0.352003,0.675995,0.256468,0.187202,0.0658536,0.170922,0.0602338,0.235145,0.158656,0.0555662
85.9,0.729945,0.351993,0.675946,0.256447,0.18718,0.0658434,0.170913,0.0602283,0.235139,0.158642,0.0555615
86,0.729921,0.351982,0.675897,0.256427,0.187158,0.0658333,0.170905,0.0602227,0.235132,0.158628,0.0555568
86.1,0.729897,0.351972,0.675848,0.256407,0.187137,0.0658232,0.170896,0.0602171,0.235126,0.158614,0.055552
86.2,0.729872,0.351961,0.675799,0.256387,0.187115,0.0658132,0.170887,0.0602115,0.235119,0.1586,0.0555473
86.3,0.729848,0.351951,0.675751,0.256367,0.187093,0.0658031,0.170878,0.0602059,0.235113,0.158586,0.0555425
86.4,0.729823,0.351941,0.675703,0.256347,0.187072,0.0657931,0.170869,0.0602003,0.235106,0.158573,0.0555377
86.5,0.729798,0.35193,0.675655,0.256328,0.18705,0.0657831,0.17086,0.0601947,0.235099,0.158559,0.0555329
86.6,0.729774,0.35192,0.675607,0.256308,0.187029,0.0657732,0.170851,0.060189,0.235092,0.158545,0.0555281
86.7,0.729749,0.35191,0.675559,0.256288,0.187007,0.0657633,0.170842,0.0601834,0.235086,0.158531,0.0555233
86.8,0.729724,0.3519,0.675512,0.256268,0.186986,0.0657534,0.170832,0.0601777,0.235079,0.158517,0.0555184
86.9,0.729699,0.35189,0.675465,0.256249,0.186964,0.0657435,0.170823,0.0601721,0.235072,0.158503,0.0555136
87,0.729674,0.35188,0.675418,0.256229,0.186943,0.0657337,0.170813,0.0601664,0.235065,0.158488,0.0555087
87.1,0.729649,0.35187,0.675371,0.25621,0.186922,0.0657239,0.170804,0.0601607,0.235058,0.158474,0.0555038
87.2,0.729624,0.35186,0.675324,0.25619,0.1869,0.0657141,0.170794,0.060155,0.23505,0.15846,0.055499
87.3,0.729599,0.35185,0.675278,0.256171,0.186879,0.0657043,0.170785,0.0601493,0.235043,0.158446,0.0554941
87.4,0.729573,0.351841,0.675232,0.256151,0.186858,0.0656946,0.170775,0.0601436,0.235036,0.158432,0.0554892
87.5,0.729548,0.351831,0.675186,0.256132,0.186836,0.0656849,0.170765,0.0601379,0.235029,0.158418,0.0554843
87.6,0.729523,0.351821,0.67514,0.256113,0.186815,0.0656752,0.170755,0.0601322,0.235021,0.158404,0.0554793
87.7,0.729497,0.351812,0.675094,0.256094,0.186794,0.0656655,0.170745,0.0601265,0.235014,0.15839,0.0554744
87.8,0.729472,0.351802,0.675049,0.256074,0.186773,0.0656559,0.170735,0.0601207,0.235006,0.158376,0.0554695
87.9,0.729446,0.351793,0.675003,0.256055,0.186752,0.0656463,0.170725,0.060115,0.234999,0.158362,0.0554645
88,0.72942,0.351783,0.674958,0.256036,0.18673,0.0656367,0.170715,0.0601092,0.234991,0.158348,0.0554596
88.1,0.729395,0.351774,0.674913,0.256017,0.186709,0.0656271,0.170705,0.0601034,0.234984,0.158334,0.0554546
88.2,0.729369,0.351765,0.674868,0.255998,0.186688,0.0656176,0.170694,0.0600977,0.234976,0.158319,0.0554496
88.3,0.729343,0.351756,0.674824,0.255979,0.186667,0.065608,0.170684,0.0600919,0.234968,0.158305,0.0554446
88.4,0.729317,0.351746,0.674779,0.25596,0.186646,0.0655985,0.170673,0.0600861,0.23496,0.158291,0.0554396
88.5,0.729291,0.351737,0.674735,0.255942,0.186625,0.0655891,0.170663,0.0600803,0.234952,0.158277,0.0554346
88.6,0.729265,0.351728,0.674691,0.255923,0.186604,0.0655796,0.170652,0.0600745,0.234945,0.158263,0.0554296
88.7,0.729239,0.351719,0.674647,0.255904,0.186583,0.0655702,0.170642,0.0600687,0.234937,0.158249,0.0554246
88.8,0.729213,0.35171,0.674603,0.255885,0.186562,0.0655608,0.170631,0.0600628,0.234929,0.158234,0.0554195
88.9,0.729187,0.351701,0.674559,0.255867,0.186541,0.0655514,0.17062,0.060057,0.234921,0.15822,0.0554145
89,0.72916,0.351692,0.674516,0.255848,0.186521,0.065542,0.17061,0.0600512,0.234913,0.158206,0.0554094
89.1,0.729134,0.351683,0.674473,0.255829,0.1865,0.0655327,0.170599,0.0600453,0.234904,0.158192,0.0554044
89.2,0.729108,0.351675,0.674429,0.255811,0.186479,0.0655234,0.170588,0.0600395,0.234896,0.158177,0.0553993
89.3,0.729081,0.351666,0.674386,0.255792,0.186458,0.0655141,0.170577,0.0600336,0.234888,0.158163,0.0553942
89.4,0.729055,0.351657,0.674343,0.255774,0.186437,0.0655048,0.170566,0.0600278,0.23488,0.158149,0.0553891
89.5,0.729028,0.351648,0.674301,0.255756,0.186416,0.0654955,0.170555,0.0600219,0.234872,0.158135,0.055384
89.6,0.729002,0.35164,0.674258,0.255737,0.186396,0.0654863,0.170544,0.060016,0.234863,0.15812,0.0553789
89.7,0.728975,0.351631,0.674216,0.255719,0.186375,0.065477,0.170532,0.0600101,0.234855,0.158106,0.0553738
89.8,0.728948,0.351623,0.674173,0.255701,0.186354,0.0654678,0.170521,0.0600042,0.234846,0.158092,0.0553687
89.9,0.728922,0.351614,0.674131,0.255682,0.186334,0.0654587,0.17051,0.0599983,0.234838,0.158078,0.0553636
90,0.728895,0.351606,0.674089,0.255664,0.186313,0.0654495,0.170498,0.0599924,0.234829,0.158063,0.0553584
90.1,0.728868,0.351597,0.674048,0.255646,0.186292,0.0654404,0.170487,0.0599865,0.234821,0.158049,0.0553533
90.2,0.728841,0.351589,0.674006,0.255628,0.186272,0.0654312,0.170476,0.0599806,0.234812,0.158035,0.0553481
90.3,0.728814,0.351581,0.673964,0.25561,0.186251,0.0654221,0.170464,0.0599746,0.234804,0.15802,0.055343
90.4,0.728787,0.351572,0.673923,0.255592,0.186231,0.0654131,0.170452,0.0599687,0.234795,0.158006,0.0553378
90.5,0.72876,0.351564,0.673882,0.255574,0.18621,0.065404,0.170441,0.0599628,0.234786,0.157992,0.0553326
90.6,0.728733,0.351556,0.67384,0.255556,0.18619,0.0653949,0.170429,0.0599568,0.234777,0.157977,0.0553274
90.7,0.728706,0.351548,0.673799,0.255538,0.186169,0.0653859,0.170417,0.0599509,0.234769,0.157963,0.0553223
90.8,0.728679,0.35154,0.673758,0.25552,0.186149,0.0653769,0.170406,0.0599449,0.23476,0.157949,0.0553171
