Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
4.6,1.27687,1.38324,1.65297,0.156954,0.11173,0.0834516,0.00180215,0.00122348,0.00165268,0.00117634,0.000655193
4.7,1.2679,1.3758,1.65252,0.159768,0.11348,0.0846726,0.00184913,0.00125418,0.00172483,0.00123552,0.000687492
4.8,1.2589,1.36831,1.65206,0.162605,0.115235,0.0858957,0.00189712,0.00128548,0.00179891,0.0012966,0.000720619
4.9,1.24986,1.36079,1.6516,0.165463,0.116994,0.0871205,0.00194614,0.00131741,0.00187496,0.00135963,0.000754579
5,1.24079,1.35324,1.65112,0.168342,0.118757,0.0883465,0.00199621,0.00134997,0.00195299,0.00142463,0.000789375
5.1,1.23169,1.34565,1.65063,0.17124,0.120522,0.0895732,0.00204735,0.00138318,0.00203304,0.00149165,0.000825009
5.2,1.22257,1.33804,1.65014,0.174158,0.122289,0.0908,0.00209958,0.00141706,0.00211512,0.00156073,0.000861483
5.3,1.21342,1.3304,1.64963,0.177092,0.124058,0.0920266,0.00215293,0.00145161,0.00219926,0.00163189,0.000898801
5.4,1.20426,1.32273,1.64912,0.180043,0.125826,0.0932524,0.00220741,0.00148687,0.00228549,0.00170518,0.000936964
5.5,1.19508,1.31505,1.64859,0.18301,0.127594,0.0944769,0.00226305,0.00152283,0.00237381,0.00178063,0.000975973
5.6,1.1859,1.30734,1.64806,0.185991,0.129361,0.0956996,0.00231986,0.00155952,0.00246427,0.00185827,0.00101583
5.7,1.17671,1.29963,1.64751,0.188985,0.131125,0.0969201,0.00237787,0.00159695,0.00255687,0.00193815,0.00105653
5.8,1.16751,1.29189,1.64696,0.19199,0.132886,0.0981378,0.00243709,0.00163514,0.00265165,0.0020203,0.00109809
5.9,1.15832,1.28416,1.64639,0.195006,0.134644,0.0993523,0.00249754,0.00167409,0.00274861,0.00210475,0.00114049
6,1.14913,1.27641,1.64582,0.198032,0.136396,0.100563,0.00255925,0.00171382,0.00284778,0.00219153,0.00118374
6.1,1.13996,1.26866,1.64523,0.201065,0.138143,0.10177,0.00262223,0.00175434,0.00294919,0.00228069,0.00122784
6.2,1.13079,1.26091,1.64463,0.204105,0.139883,0.102971,0.0026865,0.00179567,0.00305285,0.00237225,0.00127278
6.3,1.12165,1.25317,1.64402,0.207151,0.141617,0.104168,0.00275208,0.00183783,0.00315877,0.00246625,0.00131857
6.4,1.11252,1.24543,1.6434,0.210201,0.143342,0.105359,0.00281899,0.00188081,0.00326699,0.00256273,0.00136521
6.5,1.10343,1.23769,1.64277,0.213253,0.145058,0.106544,0.00288724,0.00192464,0.00337751,0.0026617,0.00141269
6.6,1.09436,1.22997,1.64213,0.216307,0.146764,0.107723,0.00295685,0.00196933,0.00349035,0.00276322,0.00146101
6.7,1.08532,1.22227,1.64147,0.219361,0.14846,0.108894,0.00302783,0.00201489,0.00360554,0.0028673,0.00151016
6.8,1.07632,1.21458,1.64081,0.222413,0.150145,0.110059,0.00310021,0.00206132,0.00372308,0.00297398,0.00156016
6.9,1.06735,1.20692,1.64013,0.225463,0.151817,0.111215,0.003174,0.00210865,0.003843,0.0030833,0.00161099
