Temps,A,B
23.1,0.549631,0.549631
23.2,0.549137,0.549137
23.3,0.548648,0.548648
23.4,0.548164,0.548164
23.5,0.547685,0.547685
23.6,0.54721,0.54721
23.7,0.54674,0.54674
23.8,0.546275,0.546275
23.9,0.545815,0.545815
24,0.545359,0.545359
24.1,0.544908,0.544908
24.2,0.544461,0.544461
24.3,0.544018,0.544018
24.4,0.54358,0.54358
24.5,0.543147,0.543147
24.6,0.542717,0.542717
24.7,0.542292,0.542292
24.8,0.541872,0.541872
24.9,0.541455,0.541455
25,0.541042,0.541042
25.1,0.540634,0.540634
25.2,0.54023,0.54023
25.3,0.53983,0.53983
25.4,0.539433,0.539433
25.5,0.539041,0.539041
25.6,0.538652,0.538652
25.7,0.538268,0.538268
25.8,0.537887,0.537887
25.9,0.53751,0.53751
26,0.537137,0.537137
26.1,0.536767,0.536767
26.2,0.536401,0.536401
26.3,0.536039,0.536039
26.4,0.535681,0.535681
26.5,0.535326,0.535326
26.6,0.534974,0.534974
26.7,0.534626,0.534626
26.8,0.534282,0.534282
26.9,0.53394,0.53394
27,0.533603,0.533603
27.1,0.533268,0.533268
27.2,0.532937,0.532937
27.3,0.53261,0.53261
27.4,0.532285,0.532285
27.5,0.531964,0.531964
27.6,0.531646,0.531646
27.7,0.531331,0.531331
27.8,0.531019,0.531019
27.9,0.530711,0.530711
28,0.530405,0.530405
28.1,0.530102,0.530102
28.2,0.529803,0.529803
28.3,0.529506,0.529506
28.4,0.529213,0.529213
28.5,0.528922,0.528922
28.6,0.528634,0.528634
28.7,0.528349,0.528349
28.8,0.528067,0.528067
28.9,0.527788,0.527788
29,0.527512,0.527512
29.1,0.527238,0.527238
29.2,0.526967,0.526967
29.3,0.526699,0.526699
29.4,0.526433,0.526433
29.5,0.52617,0.52617
29.6,0.525909,0.525909
29.7,0.525652,0.525652
29.8,0.525396,0.525396
29.9,0.525144,0.525144
30,0.524894,0.524894
30.1,0.524646,0.524646
30.2,0.524401,0.524401
30.3,0.524158,0.524158
30.4,0.523917,0.523917
30.5,0.523679,0.523679
30.6,0.523444,0.523444
30.7,0.523211,0.523211
30.8,0.52298,0.52298
30.9,0.522751,0.522751
31,0.522525,0.522525
31.1,0.5223,0.5223
31.2,0.522079,0.522079
31.3,0.521859,0.521859
31.4,0.521641,0.521641
31.5,0.521426,0.521426
31.6,0.521213,0.521213
31.7,0.521002,0.521002
31.8,0.520793,0.520793
31.9,0.520586,0.520586
32,0.520381,0.520381
32.1,0.520178,0.520178
32.2,0.519978,0.519978
32.3,0.519779,0.519779
32.4,0.519582,0.519582
32.5,0.519387,0.519387
32.6,0.519194,0.519194
32.7,0.519003,0.519003
32.8,0.518814,0.518814
32.9,0.518627,0.518627
33,0.518442,0.518442
33.1,0.518258,0.518258
33.2,0.518076,0.518076
33.3,0.517897,0.517897
33.4,0.517718,0.517718
33.5,0.517542,0.517542
33.6,0.517368,0.517368
33.7,0.517195,0.517195
33.8,0.517024,0.517024
33.9,0.516854,0.516854
34,0.516687,0.516687
34.1,0.516521,0.516521
34.2,0.516356,0.516356
34.3,0.516193,0.516193
34.4,0.516032,0.516032
34.5,0.515873,0.515873
34.6,0.515715,0.515715
34.7,0.515559,0.515559
34.8,0.515404,0.515404
34.9,0.51525,0.51525
35,0.515099,0.515099
35.1,0.514948,0.514948
35.2,0.5148,0.5148
35.3,0.514652,0.514652
35.4,0.514507,0.514507
35.5,0.514362,0.514362
35.6,0.514219,0.514219
35.7,0.514078,0.514078
35.8,0.513938,0.513938
35.9,0.513799,0.513799
36,0.513662,0.513662
36.1,0.513526,0.513526
36.2,0.513391,0.513391
36.3,0.513258,0.513258
36.4,0.513126,0.513126
36.5,0.512996,0.512996
36.6,0.512866,0.512866
36.7,0.512738,0.512738
36.8,0.512611,0.512611
36.9,0.512486,0.512486
37,0.512362,0.512362
37.1,0.512239,0.512239
37.2,0.512117,0.512117
37.3,0.511996,0.511996
37.4,0.511877,0.511877
37.5,0.511759,0.511759
37.6,0.511642,0.511642
37.7,0.511526,0.511526
37.8,0.511411,0.511411
37.9,0.511298,0.511298
38,0.511185,0.511185
38.1,0.511074,0.511074
38.2,0.510964,0.510964
38.3,0.510855,0.510855
38.4,0.510747,0.510747
38.5,0.51064,0.51064
38.6,0.510534,0.510534
38.7,0.510429,0.510429
38.8,0.510325,0.510325
38.9,0.510223,0.510223
39,0.510121,0.510121
39.1,0.51002,0.51002
39.2,0.509921,0.509921
39.3,0.509822,0.509822
39.4,0.509724,0.509724
39.5,0.509627,0.509627
39.6,0.509532,0.509532
39.7,0.509437,0.509437
39.8,0.509343,0.509343
39.9,0.50925,0.50925
40,0.509158,0.509158
40.1,0.509067,0.509067
40.2,0.508976,0.508976
40.3,0.508887,0.508887
40.4,0.508799,0.508799
40.5,0.508711,0.508711
40.6,0.508625,0.508625
40.7,0.508539,0.508539
40.8,0.508454,0.508454
40.9,0.50837,0.50837
41,0.508286,0.508286
41.1,0.508204,0.508204
41.2,0.508122,0.508122
41.3,0.508041,0.508041
41.4,0.507961,0.507961
41.5,0.507882,0.507882
41.6,0.507804,0.507804
41.7,0.507726,0.507726
41.8,0.507649,0.507649
41.9,0.507573,0.507573
42,0.507498,0.507498
42.1,0.507423,0.507423
42.2,0.507349,0.507349
42.3,0.507276,0.507276
42.4,0.507204,0.507204
42.5,0.507132,0.507132
42.6,0.507061,0.507061
42.7,0.506991,0.506991
42.8,0.506921,0.506921
42.9,0.506852,0.506852
43,0.506784,0.506784
43.1,0.506717,0.506717
43.2,0.50665,0.50665
43.3,0.506584,0.506584
43.4,0.506518,0.506518
43.5,0.506453,0.506453
43.6,0.506389,0.506389
43.7,0.506326,0.506326
43.8,0.506263,0.506263
43.9,0.5062,0.5062
44,0.506139,0.506139
44.1,0.506078,0.506078
44.2,0.506017,0.506017
44.3,0.505957,0.505957
44.4,0.505898,0.505898
44.5,0.505839,0.505839
44.6,0.505781,0.505781
44.7,0.505724,0.505724
44.8,0.505667,0.505667
44.9,0.50561,0.50561
45,0.505554,0.505554
45.1,0.505499,0.505499
45.2,0.505445,0.505445
45.3,0.50539,0.50539
45.4,0.505337,0.505337
45.5,0.505284,0.505284
45.6,0.505231,0.505231
45.7,0.505179,0.505179
45.8,0.505127,0.505127
45.9,0.505076,0.505076
46,0.505026,0.505026
46.1,0.504976,0.504976
46.2,0.504926,0.504926
46.3,0.504877,0.504877
46.4,0.504829,0.504829
46.5,0.504781,0.504781
46.6,0.504733,0.504733
46.7,0.504686,0.504686
46.8,0.50464,0.50464
46.9,0.504593,0.504593
47,0.504548,0.504548
47.1,0.504502,0.504502
47.2,0.504458,0.504458
47.3,0.504413,0.504413
47.4,0.504369,0.504369
47.5,0.504326,0.504326
47.6,0.504283,0.504283
47.7,0.50424,0.50424
47.8,0.504198,0.504198
47.9,0.504156,0.504156
48,0.504115,0.504115
48.1,0.504074,0.504074
48.2,0.504033,0.504033
48.3,0.503993,0.503993
48.4,0.503954,0.503954
48.5,0.503914,0.503914
48.6,0.503875,0.503875
48.7,0.503837,0.503837
48.8,0.503799,0.503799
48.9,0.503761,0.503761
49,0.503723,0.503723
49.1,0.503686,0.503686
49.2,0.50365,0.50365
49.3,0.503613,0.503613
49.4,0.503577,0.503577
49.5,0.503542,0.503542
49.6,0.503506,0.503506
49.7,0.503472,0.503472
49.8,0.503437,0.503437
49.9,0.503403,0.503403
50,0.503369,0.503369
50.1,0.503335,0.503335
50.2,0.503302,0.503302
50.3,0.503269,0.503269
50.4,0.503237,0.503237
50.5,0.503205,0.503205
50.6,0.503173,0.503173
50.7,0.503141,0.503141
50.8,0.50311,0.50311
50.9,0.503079,0.503079
51,0.503048,0.503048
51.1,0.503018,0.503018
51.2,0.502988,0.502988
51.3,0.502958,0.502958
51.4,0.502929,0.502929
51.5,0.5029,0.5029
51.6,0.502871,0.502871
51.7,0.502842,0.502842
51.8,0.502814,0.502814
51.9,0.502786,0.502786
52,0.502758,0.502758
52.1,0.502731,0.502731
52.2,0.502704,0.502704
52.3,0.502677,0.502677
52.4,0.50265,0.50265
52.5,0.502624,0.502624
52.6,0.502598,0.502598
52.7,0.502572,0.502572
52.8,0.502546,0.502546
52.9,0.502521,0.502521
53,0.502496,0.502496
53.1,0.502471,0.502471
53.2,0.502446,0.502446
53.3,0.502422,0.502422
53.4,0.502398,0.502398
53.5,0.502374,0.502374
53.6,0.50235,0.50235
53.7,0.502327,0.502327
53.8,0.502304,0.502304
53.9,0.502281,0.502281
54,0.502258,0.502258
54.1,0.502236,0.502236
54.2,0.502214,0.502214
54.3,0.502192,0.502192
54.4,0.50217,0.50217
54.5,0.502148,0.502148
54.6,0.502127,0.502127
54.7,0.502106,0.502106
54.8,0.502085,0.502085
54.9,0.502064,0.502064
55,0.502043,0.502043
55.1,0.502023,0.502023
55.2,0.502003,0.502003
55.3,0.501983,0.501983
55.4,0.501963,0.501963
55.5,0.501944,0.501944
55.6,0.501924,0.501924
55.7,0.501905,0.501905
55.8,0.501886,0.501886
55.9,0.501868,0.501868
56,0.501849,0.501849
56.1,0.501831,0.501831
56.2,0.501812,0.501812
56.3,0.501794,0.501794
56.4,0.501776,0.501776
56.5,0.501759,0.501759
56.6,0.501741,0.501741
56.7,0.501724,0.501724
56.8,0.501707,0.501707
56.9,0.50169,0.50169
57,0.501673,0.501673
57.1,0.501656,0.501656
57.2,0.50164,0.50164
57.3,0.501624,0.501624
57.4,0.501607,0.501607
57.5,0.501591,0.501591
57.6,0.501576,0.501576
57.7,0.50156,0.50156
57.8,0.501544,0.501544
57.9,0.501529,0.501529
58,0.501514,0.501514
58.1,0.501499,0.501499
58.2,0.501484,0.501484
58.3,0.501469,0.501469
58.4,0.501454,0.501454
58.5,0.50144,0.50144
58.6,0.501426,0.501426
58.7,0.501411,0.501411
58.8,0.501397,0.501397
58.9,0.501383,0.501383
59,0.50137,0.50137
59.1,0.501356,0.501356
59.2,0.501343,0.501343
59.3,0.501329,0.501329
59.4,0.501316,0.501316
59.5,0.501303,0.501303
59.6,0.50129,0.50129
59.7,0.501277,0.501277
59.8,0.501264,0.501264
59.9,0.501252,0.501252
60,0.501239,0.501239
60.1,0.501227,0.501227
60.2,0.501215,0.501215
60.3,0.501203,0.501203
60.4,0.501191,0.501191
60.5,0.501179,0.501179
60.6,0.501167,0.501167
60.7,0.501156,0.501156
60.8,0.501144,0.501144
60.9,0.501133,0.501133
61,0.501121,0.501121
61.1,0.50111,0.50111
61.2,0.501099,0.501099
61.3,0.501088,0.501088
61.4,0.501077,0.501077
61.5,0.501067,0.501067
61.6,0.501056,0.501056
61.7,0.501046,0.501046
61.8,0.501035,0.501035
61.9,0.501025,0.501025
62,0.501015,0.501015
62.1,0.501005,0.501005
62.2,0.500995,0.500995
62.3,0.500985,0.500985
62.4,0.500975,0.500975
62.5,0.500965,0.500965
62.6,0.500956,0.500956
62.7,0.500946,0.500946
62.8,0.500937,0.500937
62.9,0.500927,0.500927
63,0.500918,0.500918
63.1,0.500909,0.500909
63.2,0.5009,0.5009
63.3,0.500891,0.500891
63.4,0.500882,0.500882
63.5,0.500873,0.500873
63.6,0.500865,0.500865
63.7,0.500856,0.500856
63.8,0.500848,0.500848
63.9,0.500839,0.500839
64,0.500831,0.500831
64.1,0.500823,0.500823
64.2,0.500814,0.500814
64.3,0.500806,0.500806
64.4,0.500798,0.500798
64.5,0.50079,0.50079
64.6,0.500782,0.500782
64.7,0.500775,0.500775
64.8,0.500767,0.500767
64.9,0.500759,0.500759
65,0.500752,0.500752
65.1,0.500744,0.500744
65.2,0.500737,0.500737
65.3,0.50073,0.50073
65.4,0.500722,0.500722
65.5,0.500715,0.500715
65.6,0.500708,0.500708
65.7,0.500701,0.500701
65.8,0.500694,0.500694
65.9,0.500687,0.500687
66,0.50068,0.50068
66.1,0.500673,0.500673
66.2,0.500667,0.500667
66.3,0.50066,0.50066
66.4,0.500654,0.500654
66.5,0.500647,0.500647
66.6,0.500641,0.500641
66.7,0.500634,0.500634
66.8,0.500628,0.500628
66.9,0.500622,0.500622
67,0.500615,0.500615
67.1,0.500609,0.500609
67.2,0.500603,0.500603
67.3,0.500597,0.500597
67.4,0.500591,0.500591
67.5,0.500585,0.500585
67.6,0.50058,0.50058
67.7,0.500574,0.500574
67.8,0.500568,0.500568
67.9,0.500562,0.500562
68,0.500557,0.500557
68.1,0.500551,0.500551
68.2,0.500546,0.500546
68.3,0.50054,0.50054
68.4,0.500535,0.500535
68.5,0.50053,0.50053
68.6,0.500524,0.500524
68.7,0.500519,0.500519
68.8,0.500514,0.500514
68.9,0.500509,0.500509
69,0.500504,0.500504
69.1,0.500499,0.500499
69.2,0.500494,0.500494
69.3,0.500489,0.500489
69.4,0.500484,0.500484
69.5,0.500479,0.500479
69.6,0.500475,0.500475
69.7,0.50047,0.50047
69.8,0.500465,0.500465
69.9,0.500461,0.500461
70,0.500456,0.500456
70.1,0.500451,0.500451
70.2,0.500447,0.500447
70.3,0.500442,0.500442
70.4,0.500438,0.500438
70.5,0.500434,0.500434
70.6,0.500429,0.500429
70.7,0.500425,0.500425
70.8,0.500421,0.500421
70.9,0.500417,0.500417
71,0.500413,0.500413
71.1,0.500408,0.500408
71.2,0.500404,0.500404
71.3,0.5004,0.5004
71.4,0.500396,0.500396
71.5,0.500392,0.500392
71.6,0.500389,0.500389
71.7,0.500385,0.500385
71.8,0.500381,0.500381
71.9,0.500377,0.500377
72,0.500373,0.500373
72.1,0.50037,0.50037
72.2,0.500366,0.500366
72.3,0.500362,0.500362
72.4,0.500359,0.500359
72.5,0.500355,0.500355
72.6,0.500352,0.500352
72.7,0.500348,0.500348
72.8,0.500345,0.500345
72.9,0.500341,0.500341
73,0.500338,0.500338
73.1,0.500334,0.500334
73.2,0.500331,0.500331
73.3,0.500328,0.500328
73.4,0.500325,0.500325
73.5,0.500321,0.500321
73.6,0.500318,0.500318
73.7,0.500315,0.500315
73.8,0.500312,0.500312
73.9,0.500309,0.500309
74,0.500306,0.500306
74.1,0.500303,0.500303
74.2,0.5003,0.5003
74.3,0.500297,0.500297
74.4,0.500294,0.500294
74.5,0.500291,0.500291
74.6,0.500288,0.500288
74.7,0.500285,0.500285
74.8,0.500282,0.500282
74.9,0.500279,0.500279
75,0.500277,0.500277
75.1,0.500274,0.500274
75.2,0.500271,0.500271
75.3,0.500268,0.500268
75.4,0.500266,0.500266
75.5,0.500263,0.500263
75.6,0.50026,0.50026
75.7,0.500258,0.500258
75.8,0.500255,0.500255
75.9,0.500253,0.500253
76,0.50025,0.50025
76.1,0.500248,0.500248
76.2,0.500245,0.500245
76.3,0.500243,0.500243
76.4,0.50024,0.50024
76.5,0.500238,0.500238
76.6,0.500236,0.500236
76.7,0.500233,0.500233
76.8,0.500231,0.500231
76.9,0.500229,0.500229
77,0.500226,0.500226
77.1,0.500224,0.500224
77.2,0.500222,0.500222
77.3,0.50022,0.50022
77.4,0.500218,0.500218
77.5,0.500215,0.500215
77.6,0.500213,0.500213
77.7,0.500211,0.500211
77.8,0.500209,0.500209
77.9,0.500207,0.500207
78,0.500205,0.500205
78.1,0.500203,0.500203
78.2,0.500201,0.500201
78.3,0.500199,0.500199
78.4,0.500197,0.500197
78.5,0.500195,0.500195
78.6,0.500193,0.500193
78.7,0.500191,0.500191
78.8,0.500189,0.500189
78.9,0.500187,0.500187
79,0.500185,0.500185
79.1,0.500184,0.500184
79.2,0.500182,0.500182
79.3,0.50018,0.50018
79.4,0.500178,0.500178
79.5,0.500176,0.500176
79.6,0.500175,0.500175
79.7,0.500173,0.500173
79.8,0.500171,0.500171
79.9,0.500169,0.500169
80,0.500168,0.500168
80.1,0.500166,0.500166
80.2,0.500164,0.500164
80.3,0.500163,0.500163
80.4,0.500161,0.500161
80.5,0.50016,0.50016
80.6,0.500158,0.500158
80.7,0.500156,0.500156
80.8,0.500155,0.500155
80.9,0.500153,0.500153
81,0.500152,0.500152
81.1,0.50015,0.50015
81.2,0.500149,0.500149
81.3,0.500147,0.500147
81.4,0.500146,0.500146
81.5,0.500144,0.500144
81.6,0.500143,0.500143
81.7,0.500142,0.500142
81.8,0.50014,0.50014
81.9,0.500139,0.500139
82,0.500137,0.500137
82.1,0.500136,0.500136
82.2,0.500135,0.500135
82.3,0.500133,0.500133
82.4,0.500132,0.500132
82.5,0.500131,0.500131
82.6,0.500129,0.500129
82.7,0.500128,0.500128
82.8,0.500127,0.500127
82.9,0.500126,0.500126
83,0.500124,0.500124
83.1,0.500123,0.500123
83.2,0.500122,0.500122
83.3,0.500121,0.500121
83.4,0.500119,0.500119
83.5,0.500118,0.500118
83.6,0.500117,0.500117
83.7,0.500116,0.500116
83.8,0.500115,0.500115
83.9,0.500114,0.500114
84,0.500112,0.500112
84.1,0.500111,0.500111
84.2,0.50011,0.50011
84.3,0.500109,0.500109
84.4,0.500108,0.500108
84.5,0.500107,0.500107
84.6,0.500106,0.500106
84.7,0.500105,0.500105
84.8,0.500104,0.500104
84.9,0.500103,0.500103
85,0.500102,0.500102
85.1,0.500101,0.500101
85.2,0.5001,0.5001
85.3,0.500099,0.500099
85.4,0.500098,0.500098
85.5,0.500097,0.500097
85.6,0.500096,0.500096
85.7,0.500095,0.500095
85.8,0.500094,0.500094
85.9,0.500093,0.500093
86,0.500092,0.500092
86.1,0.500091,0.500091
86.2,0.50009,0.50009
86.3,0.500089,0.500089
86.4,0.500088,0.500088
86.5,0.500088,0.500088
86.6,0.500087,0.500087
86.7,0.500086,0.500086
